C,Akurasi,Precision,Recall,F1-score
0.25,0.7608695652173914,0.766584193343593,0.7606236720409949,0.7580519214544689
0.05,0.758893280632411,0.7631406141996642,0.7586082989626297,0.7542329938481256
0.75,0.758893280632411,0.7624049938795837,0.758655168103987,0.7562773373428102
1.0,0.758893280632411,0.7629396723098628,0.7586395450568678,0.7566483910637426
0.5,0.7549407114624506,0.7586302037883066,0.7547181602299712,0.752478301257318
0.01,0.7351778656126482,0.7410002838691363,0.7347831521059868,0.7246649591250863
