C,Akurasi,Precision,Recall,F1-score
0.5,0.6701649175412294,0.7040696457763953,0.6701897409999279,0.6678617177380066
0.75,0.6701649175412294,0.7062235496194127,0.6701987591082894,0.6681383848254884
0.25,0.6671664167916042,0.7025656350620938,0.66719572902388,0.664566931417374
1.0,0.664167916041979,0.7015763257284213,0.6642107351561937,0.6626804938284944
0.05,0.6626686656671664,0.6976448135198136,0.6626776567347233,0.6600612756226334
0.01,0.638680659670165,0.6597300436491613,0.6385902893009162,0.6374933168650807
