C,Akurasi,Precision,Recall,F1-score
0.05,0.6352201257861635,0.6405690203384298,0.6352638513032332,0.6365715290998093
1.0,0.6331236897274634,0.6408703090894337,0.6332686464416275,0.6348679433703837
0.25,0.6310272536687631,0.636397704312814,0.631167509376632,0.6321095143487032
0.5,0.6310272536687631,0.6373092839987335,0.6312559345772207,0.6324294766615944
0.75,0.6289308176100629,0.6360394594320723,0.6291372905094241,0.6305499311661773
0.01,0.6079664570230608,0.614185962154646,0.6079339362863789,0.6093181380553453
