C,Akurasi,Precision,Recall,F1-score
0.5,0.7516129032258064,0.7732063258379047,0.7516129032258064,0.750271157477542
0.25,0.75,0.7714308742288546,0.75,0.748615172355664
0.75,0.75,0.7712804009083079,0.75,0.7484463193310299
1.0,0.7483870967741936,0.768878851222628,0.7483870967741935,0.7467308379560246
0.05,0.7322580645161291,0.7536953056306559,0.732258064516129,0.7327064776915387
0.01,0.7096774193548387,0.7355143488558427,0.7096774193548387,0.7088542815399008
